replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,communication_error_rate,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260922,3,0.0,False,True,0.25,,always_defect,21,23136,2.2034285714285713,0.0,20,0,0,20
20260922,3,0.0,False,True,0.25,,communication_guard,25,29024,2.32192,0.612,25,0,0,25
20260922,3,0.0,False,True,0.25,,tit_for_tat,29,34785,2.3989655172413795,0.7424137931034482,30,0,0,30
20260922,4,0.0,False,True,0.25,,always_cooperate,25,28890,2.3112,1.0,25,0,0,25
20260922,4,0.0,False,True,0.25,,always_defect,20,21704,2.1704,0.0,18,0,0,18
20260922,4,0.0,False,True,0.25,,communication_guard,25,30814,2.46512,0.656,26,0,0,26
20260922,4,0.0,False,True,0.25,,tit_for_tat,30,36768,2.4512,0.7648,31,0,0,31
20260922,5,0.0,False,True,0.25,,always_cooperate,25,30120,2.4096,1.0,25,0,0,25
20260922,5,0.0,False,True,0.25,,always_defect,18,19748,2.1942222222222223,0.0,16,0,0,16
20260922,5,0.0,False,True,0.25,,communication_guard,26,32446,2.495846153846154,0.7076923076923077,27,0,0,27
20260922,5,0.0,False,True,0.25,,tit_for_tat,31,38919,2.5109032258064516,0.7903870967741935,32,0,0,32
20260922,6,0.0,False,True,0.25,,always_cooperate,25,31020,2.4816,1.0,25,0,0,25
20260922,6,0.0,False,True,0.25,,always_defect,16,17668,2.2085,0.0,15,0,0,15
20260922,6,0.0,False,True,0.25,,communication_guard,27,33130,2.454074074074074,0.682962962962963,27,0,0,27
20260922,6,0.0,False,True,0.25,,tit_for_tat,32,39663,2.4789375,0.7766875,33,0,0,33
20260922,7,0.0,False,True,0.25,,always_cooperate,25,31770,2.5416,1.0,26,0,0,26
20260922,7,0.0,False,True,0.25,,always_defect,15,16148,2.1530666666666667,0.0,13,0,0,13
20260922,7,0.0,False,True,0.25,,communication_guard,27,32338,2.3954074074074074,0.6459259259259259,27,0,0,27
20260922,7,0.0,False,True,0.25,,tit_for_tat,33,41226,2.4985454545454546,0.7850909090909091,34,0,0,34
20260922,8,0.0,False,True,0.25,,always_cooperate,26,32910,2.5315384615384615,1.0,27,0,0,27
20260922,8,0.0,False,True,0.25,,always_defect,13,14340,2.206153846153846,0.0,12,0,0,12
20260922,8,0.0,False,True,0.25,,communication_guard,27,31500,2.3333333333333335,0.5725925925925925,26,0,0,26
20260922,8,0.0,False,True,0.25,,tit_for_tat,34,43650,2.5676470588235296,0.8147058823529412,35,0,0,35
20260922,9,0.0,False,True,0.25,,always_cooperate,27,35730,2.6466666666666665,1.0,28,0,0,28
20260922,9,0.0,False,True,0.25,,always_defect,12,13168,2.1946666666666665,0.0,10,0,0,10
20260922,9,0.0,False,True,0.25,,communication_guard,26,32792,2.5224615384615383,0.713076923076923,26,0,0,26
20260922,9,0.0,False,True,0.25,,tit_for_tat,35,45570,2.604,0.8302857142857143,36,0,0,36
20260923,0,0.0,False,True,0.25,,always_cooperate,25,27870,2.2296,1.0,25,0,0,25
20260923,0,0.0,False,True,0.25,,always_defect,25,26488,2.11904,0.0,24,0,0,24
20260923,0,0.0,False,True,0.25,,communication_guard,25,28138,2.25104,0.5704,25,0,0,25
20260923,0,0.0,False,True,0.25,,tit_for_tat,25,28911,2.31288,0.70552,26,0,0,26
20260923,1,0.0,False,True,0.25,,always_cooperate,25,28440,2.2752,1.0,26,0,0,26
20260923,1,0.0,False,True,0.25,,always_defect,24,25400,2.1166666666666667,0.0,23,0,0,23
