replicate_seed,generation,mutation_rate,reputation_enabled,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260922,6,0.0,False,always_cooperate,6,3270,1.09,1.0,4,0,0,4
20260922,6,0.0,False,always_defect,61,49520,1.6236065573770493,0.0,63,0,0,63
20260922,6,0.0,False,reputation_guard,7,4440,1.2685714285714285,1.0,6,0,0,6
20260922,6,0.0,False,tit_for_tat,26,21675,1.6673076923076924,0.4288461538461538,27,0,0,27
20260922,7,0.0,False,always_cooperate,4,2220,1.11,1.0,3,0,0,3
20260922,7,0.0,False,always_defect,63,47720,1.514920634920635,0.0,63,0,0,63
20260922,7,0.0,False,reputation_guard,6,3210,1.07,1.0,4,0,0,4
20260922,7,0.0,False,tit_for_tat,27,22335,1.6544444444444444,0.42333333333333334,30,0,0,30
20260922,8,0.0,False,always_cooperate,3,1650,1.1,1.0,2,0,0,2
20260922,8,0.0,False,always_defect,63,44028,1.3977142857142857,0.0,61,0,0,61
20260922,8,0.0,False,reputation_guard,4,2310,1.155,1.0,3,0,0,3
20260922,8,0.0,False,tit_for_tat,30,25008,1.6672,0.4288,34,0,0,34
20260922,9,0.0,False,always_cooperate,2,1080,1.08,1.0,1,0,0,1
20260922,9,0.0,False,always_defect,61,41040,1.3455737704918034,0.0,57,0,0,57
20260922,9,0.0,False,reputation_guard,3,1710,1.14,1.0,2,0,0,2
20260922,9,0.0,False,tit_for_tat,34,28635,1.6844117647058823,0.4361764705882353,40,0,0,40
20260923,0,0.0,False,always_cooperate,25,28380,2.2704,1.0,23,0,0,23
20260923,0,0.0,False,always_defect,25,39248,3.13984,0.0,31,0,0,31
20260923,0,0.0,False,reputation_guard,25,27510,2.2008,1.0,22,0,0,22
20260923,0,0.0,False,tit_for_tat,25,30843,2.46744,0.77176,24,0,0,24
20260923,1,0.0,False,always_cooperate,23,23670,2.0582608695652174,1.0,20,0,0,20
20260923,1,0.0,False,always_defect,31,44936,2.8990967741935485,0.0,37,0,0,37
