replicate_seed,generation,mutation_rate,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260922,2,0.02,pavlov,19,23825,2.5078947368421054,0.901578947368421,19,0,0,19
20260922,2,0.02,tit_for_tat,22,28695,2.6086363636363634,0.8322727272727273,23,0,1,22
20260922,3,0.02,always_cooperate,15,17730,2.364,1.0,14,1,0,15
20260922,3,0.02,always_defect,20,22776,2.2776,0.0,18,0,0,18
20260922,3,0.02,forgiving_tit_for_tat,24,30390,2.5325,0.83,25,0,1,24
20260922,3,0.02,pavlov,19,24100,2.536842105263158,0.9073684210526316,20,0,0,20
20260922,3,0.02,tit_for_tat,22,28506,2.5914545454545452,0.8249090909090909,23,0,0,23
20260922,4,0.02,always_cooperate,15,18390,2.452,1.0,15,1,0,16
20260922,4,0.02,always_defect,18,20568,2.2853333333333334,0.0,16,1,0,17
20260922,4,0.02,forgiving_tit_for_tat,24,31446,2.6205,0.862,25,1,1,25
20260922,4,0.02,pavlov,20,25475,2.5475,0.9095,20,0,1,19
20260922,4,0.02,tit_for_tat,23,30237,2.629304347826087,0.8411304347826087,24,0,1,23
20260922,5,0.02,always_cooperate,16,19470,2.43375,1.0,15,0,0,15
20260922,5,0.02,always_defect,17,20228,2.379764705882353,0.0,16,0,0,16
20260922,5,0.02,forgiving_tit_for_tat,25,32990,2.6392,0.8688,26,0,0,26
20260922,5,0.02,pavlov,19,24450,2.5736842105263156,0.9147368421052632,19,0,0,19
20260922,5,0.02,tit_for_tat,23,30258,2.6311304347826088,0.8419130434782609,24,0,0,24
20260922,6,0.02,always_cooperate,15,18750,2.5,1.0,15,1,0,16
20260922,6,0.02,always_defect,16,18416,2.302,0.0,14,1,0,15
20260922,6,0.02,forgiving_tit_for_tat,26,34138,2.626,0.864,27,0,0,27
20260922,6,0.02,pavlov,19,24850,2.6157894736842104,0.9231578947368421,19,1,2,18
20260922,6,0.02,tit_for_tat,24,32178,2.6815,0.8635,25,0,1,24
20260922,7,0.02,always_cooperate,16,20010,2.50125,1.0,15,0,0,15
20260922,7,0.02,always_defect,15,18144,2.4192,0.0,14,1,1,14
20260922,7,0.02,forgiving_tit_for_tat,27,36232,2.683851851851852,0.8850370370370371,28,0,0,28
20260922,7,0.02,pavlov,18,23175,2.575,0.915,18,1,0,19
20260922,7,0.02,tit_for_tat,24,32262,2.6885,0.8665,25,0,1,24
20260922,8,0.02,always_cooperate,15,19200,2.56,1.0,15,0,1,14
20260922,8,0.02,always_defect,14,16120,2.302857142857143,0.0,12,2,0,14
20260922,8,0.02,forgiving_tit_for_tat,28,37864,2.7045714285714286,0.8925714285714286,29,0,1,28
20260922,8,0.02,pavlov,19,25325,2.6657894736842107,0.9331578947368421,19,0,0,19
20260922,8,0.02,tit_for_tat,24,32451,2.70425,0.87325,25,0,0,25
20260922,9,0.02,always_cooperate,14,17940,2.5628571428571427,1.0,14,1,0,15
20260922,9,0.02,always_defect,14,16104,2.3005714285714287,0.0,12,0,0,12
20260922,9,0.02,forgiving_tit_for_tat,28,37380,2.67,0.88,29,0,2,27
20260922,9,0.02,pavlov,19,25175,2.65,0.93,19,0,0,19
20260922,9,0.02,tit_for_tat,25,33909,2.71272,0.87688,26,1,0,27
20260923,0,0.02,always_cooperate,20,24120,2.412,1.0,19,0,0,19
20260923,0,0.02,always_defect,20,24472,2.4472,0.0,20,0,1,19
20260923,0,0.02,forgiving_tit_for_tat,20,25820,2.582,0.848,21,1,0,22
20260923,0,0.02,pavlov,20,24650,2.465,0.893,20,0,0,20
20260923,0,0.02,tit_for_tat,20,25632,2.5632,0.8128,20,0,0,20
20260923,1,0.02,always_cooperate,19,22800,2.4,1.0,18,0,3,15
20260923,1,0.02,always_defect,19,23476,2.471157894736842,0.0,19,2,0,21
20260923,1,0.02,forgiving_tit_for_tat,22,28512,2.592,0.8516363636363636,23,0,0,23
20260923,1,0.02,pavlov,20,25025,2.5025,0.9005,20,0,1,19
20260923,1,0.02,tit_for_tat,20,25989,2.5989,0.8281,20,2,0,22
20260923,2,0.02,always_cooperate,15,17610,2.348,1.0,14,2,0,16
20260923,2,0.02,always_defect,21,23676,2.254857142857143,0.0,19,0,3,16
20260923,2,0.02,forgiving_tit_for_tat,23,28934,2.516,0.824,24,1,0,25
20260923,2,0.02,pavlov,19,23825,2.5078947368421054,0.901578947368421,20,2,0,22
20260923,2,0.02,tit_for_tat,22,28317,2.5742727272727275,0.8175454545454546,23,0,2,21
20260923,3,0.02,always_cooperate,16,20040,2.505,1.0,15,1,0,16
20260923,3,0.02,always_defect,16,18996,2.3745,0.0,15,1,0,16
20260923,3,0.02,forgiving_tit_for_tat,25,33298,2.66384,0.87776,26,0,1,25
20260923,3,0.02,pavlov,22,28600,2.6,0.92,22,0,1,21
20260923,3,0.02,tit_for_tat,21,27993,2.666,0.8568571428571429,22,1,1,22
20260923,4,0.02,always_cooperate,16,19680,2.46,1.0,15,0,0,15
20260923,4,0.02,always_defect,16,19340,2.4175,0.0,15,1,1,15
20260923,4,0.02,forgiving_tit_for_tat,25,33298,2.66384,0.87776,26,0,0,26
20260923,4,0.02,pavlov,21,27350,2.604761904761905,0.920952380952381,21,0,0,21
20260923,4,0.02,tit_for_tat,22,29157,2.6506363636363637,0.8502727272727273,23,1,1,23
20260923,5,0.02,always_cooperate,15,18990,2.532,1.0,15,0,0,15
