information,pass_name,rank,policy,matches,total_payoff,average_payoff_per_round,cooperation_rate,reputation_signal,warning_signal
off,uninformed,1,always_defect,8,452,2.825,0.0,,
off,uninformed,2,tit_for_tat,8,439,2.74375,0.88125,,
off,uninformed,3,forgiving_tit_for_tat,8,438,2.7375,0.8875,,
off,uninformed,4,pavlov,8,430,2.6875,0.9375,,
off,uninformed,5,always_cooperate,8,420,2.625,1.0,,
off,uninformed,6,communication_guard,8,420,2.625,1.0,,
off,uninformed,7,reputation_guard,8,420,2.625,1.0,,
