memory_window,reputation_enabled,policy,agents,matches,rounds,payoff,average_payoff_per_round,cooperation_rate,mutual_cooperation_rounds
,False,always_cooperate,2,100,1000,2160,2.16,1.0,720
,False,always_defect,2,100,1000,3128,3.128,0.0,0
,False,reputation_guard,2,100,1000,2340,2.34,1.0,780
,False,tit_for_tat,2,100,1000,2328,2.328,0.712,680
