replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260922,1,0.0,True,False,tit_for_tat,20,24855,2.4855,0.7795,20,0,0,20
20260922,2,0.0,True,False,always_cooperate,18,20700,2.3,1.0,17,0,0,17
20260922,2,0.0,True,False,always_defect,23,29080,2.528695652173913,0.0,24,0,0,24
20260922,2,0.0,True,False,communication_guard,17,19470,2.2905882352941176,1.0,16,0,0,16
20260922,2,0.0,True,False,reputation_guard,22,27400,2.4909090909090907,0.7490909090909091,23,0,0,23
20260922,2,0.0,True,False,tit_for_tat,20,24855,2.4855,0.7795,20,0,0,20
20260922,3,0.0,True,False,always_cooperate,17,19170,2.255294117647059,1.0,16,0,0,16
20260922,3,0.0,True,False,always_defect,24,29388,2.449,0.0,24,0,0,24
20260922,3,0.0,True,False,communication_guard,16,18090,2.26125,1.0,15,0,0,15
20260922,3,0.0,True,False,reputation_guard,23,28940,2.5165217391304346,0.76,24,0,0,24
20260922,3,0.0,True,False,tit_for_tat,20,24918,2.4918,0.7822,21,0,0,21
20260922,4,0.0,True,False,always_cooperate,16,17910,2.23875,1.0,15,0,0,15
20260922,4,0.0,True,False,always_defect,24,28336,2.3613333333333335,0.0,24,0,0,24
20260922,4,0.0,True,False,communication_guard,15,17190,2.292,1.0,14,0,0,14
20260922,4,0.0,True,False,reputation_guard,24,30488,2.5406666666666666,0.7733333333333333,25,0,0,25
20260922,4,0.0,True,False,tit_for_tat,21,26124,2.488,0.7805714285714286,22,0,0,22
20260922,5,0.0,True,False,always_cooperate,15,16440,2.192,1.0,14,0,0,14
20260922,5,0.0,True,False,always_defect,24,27776,2.3146666666666667,0.0,23,0,0,23
20260922,5,0.0,True,False,communication_guard,14,16200,2.3142857142857145,1.0,14,0,0,14
20260922,5,0.0,True,False,reputation_guard,25,30992,2.47936,0.7432,26,0,0,26
20260922,5,0.0,True,False,tit_for_tat,22,26973,2.452090909090909,0.7651818181818182,23,0,0,23
20260922,6,0.0,True,False,always_cooperate,14,15840,2.262857142857143,1.0,13,0,0,13
20260922,6,0.0,True,False,always_defect,23,26524,2.3064347826086955,0.0,22,0,0,22
20260922,6,0.0,True,False,communication_guard,14,15870,2.2671428571428573,1.0,13,0,0,13
20260922,6,0.0,True,False,reputation_guard,26,33010,2.539230769230769,0.7769230769230769,28,0,0,28
20260922,6,0.0,True,False,tit_for_tat,23,29124,2.5325217391304347,0.7996521739130434,24,0,0,24
20260922,7,0.0,True,False,always_cooperate,13,15180,2.335384615384615,1.0,13,0,0,13
20260922,7,0.0,True,False,always_defect,22,23776,2.1614545454545455,0.0,20,0,0,20
20260922,7,0.0,True,False,communication_guard,13,15270,2.3492307692307692,1.0,13,0,0,13
20260922,7,0.0,True,False,reputation_guard,28,34774,2.483857142857143,0.7414285714285714,29,0,0,29
20260922,7,0.0,True,False,tit_for_tat,24,29280,2.44,0.76,25,0,0,25
20260922,8,0.0,True,False,always_cooperate,13,14910,2.293846153846154,1.0,12,0,0,12
20260922,8,0.0,True,False,always_defect,20,22336,2.2336,0.0,18,0,0,18
20260922,8,0.0,True,False,communication_guard,13,15810,2.4323076923076923,1.0,13,0,0,13
20260922,8,0.0,True,False,reputation_guard,29,37498,2.5860689655172413,0.7979310344827586,31,0,0,31
20260922,8,0.0,True,False,tit_for_tat,25,31914,2.55312,0.80848,26,0,0,26
20260922,9,0.0,True,False,always_cooperate,12,14700,2.45,1.0,12,0,0,12
20260922,9,0.0,True,False,always_defect,18,19156,2.1284444444444444,0.0,15,0,0,15
20260922,9,0.0,True,False,communication_guard,13,15960,2.4553846153846153,1.0,13,0,0,13
20260922,9,0.0,True,False,reputation_guard,31,40636,2.621677419354839,0.812258064516129,33,0,0,33
20260922,9,0.0,True,False,tit_for_tat,26,34107,2.6236153846153845,0.8386923076923077,27,0,0,27
20260923,0,0.0,True,False,always_cooperate,20,24120,2.412,1.0,19,0,0,19
20260923,0,0.0,True,False,always_defect,20,26472,2.6472,0.0,21,0,0,21
20260923,0,0.0,True,False,communication_guard,20,24300,2.43,1.0,20,0,0,20
20260923,0,0.0,True,False,reputation_guard,20,25548,2.5548,0.783,20,0,0,20
20260923,0,0.0,True,False,tit_for_tat,20,25485,2.5485,0.8065,20,0,0,20
20260923,1,0.0,True,False,always_cooperate,19,22320,2.349473684210526,1.0,18,0,0,18
20260923,1,0.0,True,False,always_defect,21,28260,2.6914285714285713,0.0,23,0,0,23
20260923,1,0.0,True,False,communication_guard,20,23580,2.358,1.0,19,0,0,19
20260923,1,0.0,True,False,reputation_guard,20,25286,2.5286,0.766,20,0,0,20
20260923,1,0.0,True,False,tit_for_tat,20,25401,2.5401,0.8029,20,0,0,20
20260923,2,0.0,True,False,always_cooperate,18,20220,2.2466666666666666,1.0,16,0,0,16
20260923,2,0.0,True,False,always_defect,23,30188,2.6250434782608694,0.0,25,0,0,25
20260923,2,0.0,True,False,communication_guard,19,22020,2.3178947368421055,1.0,18,0,0,18
20260923,2,0.0,True,False,reputation_guard,20,25350,2.535,0.769,21,0,0,21
20260923,2,0.0,True,False,tit_for_tat,20,25128,2.5128,0.7912,20,0,0,20
20260923,3,0.0,True,False,always_cooperate,16,17730,2.21625,1.0,15,0,0,15
20260923,3,0.0,True,False,always_defect,25,30800,2.464,0.0,26,0,0,26
20260923,3,0.0,True,False,communication_guard,18,20370,2.263333333333333,1.0,17,0,0,17
20260923,3,0.0,True,False,reputation_guard,21,26342,2.5087619047619047,0.7571428571428571,22,0,0,22
20260923,3,0.0,True,False,tit_for_tat,20,24792,2.4792,0.7768,20,0,0,20
20260923,4,0.0,True,False,always_cooperate,15,15960,2.128,1.0,14,0,0,14
20260923,4,0.0,True,False,always_defect,26,31480,2.4215384615384616,0.0,27,0,0,27
20260923,4,0.0,True,False,communication_guard,17,19110,2.248235294117647,1.0,16,0,0,16
20260923,4,0.0,True,False,reputation_guard,22,26592,2.4174545454545453,0.71,23,0,0,23
20260923,4,0.0,True,False,tit_for_tat,20,24162,2.4162,0.7498,20,0,0,20
20260923,5,0.0,True,False,always_cooperate,14,15090,2.1557142857142857,1.0,13,0,0,13
20260923,5,0.0,True,False,always_defect,27,31844,2.358814814814815,0.0,27,0,0,27
20260923,5,0.0,True,False,communication_guard,16,17190,2.14875,1.0,15,0,0,15
20260923,5,0.0,True,False,reputation_guard,23,27964,2.4316521739130437,0.7191304347826087,24,0,0,24
20260923,5,0.0,True,False,tit_for_tat,20,23763,2.3763,0.7327,21,0,0,21
20260923,6,0.0,True,False,always_cooperate,13,14460,2.2246153846153844,1.0,13,0,0,13
20260923,6,0.0,True,False,always_defect,27,28888,2.139851851851852,0.0,25,0,0,25
20260923,6,0.0,True,False,communication_guard,15,17010,2.268,1.0,15,0,0,15
20260923,6,0.0,True,False,reputation_guard,24,27848,2.320666666666667,0.6525,25,0,0,25
20260923,6,0.0,True,False,tit_for_tat,21,24486,2.332,0.7137142857142857,22,0,0,22
20260923,7,0.0,True,False,always_cooperate,13,14100,2.169230769230769,1.0,12,0,0,12
20260923,7,0.0,True,False,always_defect,25,28484,2.27872,0.0,24,0,0,24
20260923,7,0.0,True,False,communication_guard,15,16920,2.256,1.0,15,0,0,15
20260923,7,0.0,True,False,reputation_guard,25,30696,2.45568,0.7328,26,0,0,26
20260923,7,0.0,True,False,tit_for_tat,22,27120,2.4654545454545453,0.7709090909090909,23,0,0,23
20260923,8,0.0,True,False,always_cooperate,12,13920,2.32,1.0,12,0,0,12
20260923,8,0.0,True,False,always_defect,24,26116,2.1763333333333335,0.0,22,0,0,22
20260923,8,0.0,True,False,communication_guard,15,17010,2.268,1.0,15,0,0,15
20260923,8,0.0,True,False,reputation_guard,26,32096,2.468923076923077,0.7361538461538462,27,0,0,27
20260923,8,0.0,True,False,tit_for_tat,23,28032,2.4375652173913043,0.7589565217391304,24,0,0,24
20260923,9,0.0,True,False,always_cooperate,12,14190,2.365,1.0,12,0,0,12
20260923,9,0.0,True,False,always_defect,22,23816,2.165090909090909,0.0,20,0,0,20
20260923,9,0.0,True,False,communication_guard,15,17670,2.356,1.0,15,0,0,15
20260923,9,0.0,True,False,reputation_guard,27,33920,2.5125925925925925,0.7548148148148148,28,0,0,28
20260923,9,0.0,True,False,tit_for_tat,24,29721,2.47675,0.77575,25,0,0,25
20260924,0,0.0,True,False,always_cooperate,20,23730,2.373,1.0,19,0,0,19
