replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260922,3,0.0,False,False,1,always_cooperate,15,15000,2.0,1.0,13,0,0,13
20260922,3,0.0,False,False,1,always_defect,33,42124,2.552969696969697,0.0,37,0,0,37
20260922,3,0.0,False,False,1,forgiving_tit_for_tat,14,14340,2.0485714285714285,1.0,12,0,0,12
20260922,3,0.0,False,False,1,pavlov,18,20225,2.2472222222222222,0.8494444444444444,18,0,0,18
20260922,3,0.0,False,False,1,tit_for_tat,20,23049,2.3049,0.7021,20,0,0,20
20260922,4,0.0,False,False,1,always_cooperate,13,12210,1.8784615384615384,1.0,11,0,0,11
20260922,4,0.0,False,False,1,always_defect,37,44516,2.4062702702702703,0.0,41,0,0,41
20260922,4,0.0,False,False,1,forgiving_tit_for_tat,12,11970,1.995,1.0,11,0,0,11
20260922,4,0.0,False,False,1,pavlov,18,18550,2.061111111111111,0.8122222222222222,17,0,0,17
20260922,4,0.0,False,False,1,tit_for_tat,20,22146,2.2146,0.6634,20,0,0,20
20260922,5,0.0,False,False,1,always_cooperate,11,8850,1.6090909090909091,1.0,8,0,0,8
20260922,5,0.0,False,False,1,always_defect,41,48588,2.3701463414634145,0.0,46,0,0,46
20260922,5,0.0,False,False,1,forgiving_tit_for_tat,11,9450,1.7181818181818183,1.0,9,0,0,9
20260922,5,0.0,False,False,1,pavlov,17,16900,1.988235294117647,0.7976470588235294,16,0,0,16
20260922,5,0.0,False,False,1,tit_for_tat,20,21558,2.1558,0.6382,21,0,0,21
20260922,6,0.0,False,False,1,always_cooperate,8,6540,1.635,1.0,7,0,0,7
20260922,6,0.0,False,False,1,always_defect,46,47900,2.082608695652174,0.0,49,0,0,49
20260922,6,0.0,False,False,1,forgiving_tit_for_tat,9,7170,1.5933333333333333,1.0,7,0,0,7
20260922,6,0.0,False,False,1,pavlov,16,15000,1.875,0.775,15,0,0,15
20260922,6,0.0,False,False,1,tit_for_tat,21,21105,2.01,0.5757142857142857,22,0,0,22
20260922,7,0.0,False,False,1,always_cooperate,7,5100,1.457142857142857,1.0,5,0,0,5
20260922,7,0.0,False,False,1,always_defect,49,48568,1.9823673469387755,0.0,52,0,0,52
20260922,7,0.0,False,False,1,forgiving_tit_for_tat,7,5310,1.5171428571428571,1.0,6,0,0,6
20260922,7,0.0,False,False,1,pavlov,15,12900,1.72,0.744,14,0,0,14
20260922,7,0.0,False,False,1,tit_for_tat,22,21093,1.9175454545454544,0.5360909090909091,23,0,0,23
20260922,8,0.0,False,False,1,always_cooperate,5,3630,1.452,1.0,4,0,0,4
20260922,8,0.0,False,False,1,always_defect,52,46900,1.8038461538461539,0.0,53,0,0,53
20260922,8,0.0,False,False,1,forgiving_tit_for_tat,6,4380,1.46,1.0,5,0,0,5
20260922,8,0.0,False,False,1,pavlov,14,12100,1.7285714285714286,0.7457142857142857,14,0,0,14
20260922,8,0.0,False,False,1,tit_for_tat,23,21585,1.8769565217391304,0.518695652173913,24,0,0,24
20260922,9,0.0,False,False,1,always_cooperate,4,2700,1.35,1.0,3,0,0,3
20260922,9,0.0,False,False,1,always_defect,53,46132,1.7408301886792452,0.0,53,0,0,53
20260922,9,0.0,False,False,1,forgiving_tit_for_tat,5,3660,1.464,1.0,4,0,0,4
20260922,9,0.0,False,False,1,pavlov,14,11650,1.6642857142857144,0.7328571428571429,14,0,0,14
20260922,9,0.0,False,False,1,tit_for_tat,24,22182,1.8485,0.5065,26,0,0,26
20260923,0,0.0,False,False,1,always_cooperate,20,24120,2.412,1.0,19,0,0,19
20260923,0,0.0,False,False,1,always_defect,20,30552,3.0552,0.0,23,0,0,23
20260923,0,0.0,False,False,1,forgiving_tit_for_tat,20,24300,2.43,1.0,19,0,0,19
20260923,0,0.0,False,False,1,pavlov,20,24650,2.465,0.893,19,0,0,19
20260923,0,0.0,False,False,1,tit_for_tat,20,25632,2.5632,0.8128,20,0,0,20
20260923,1,0.0,False,False,1,always_cooperate,19,21660,2.28,1.0,17,0,0,17
20260923,1,0.0,False,False,1,always_defect,23,35424,3.0803478260869563,0.0,28,0,0,28
20260923,1,0.0,False,False,1,forgiving_tit_for_tat,19,21690,2.283157894736842,1.0,17,0,0,17
20260923,1,0.0,False,False,1,pavlov,19,22500,2.3684210526315788,0.8736842105263158,18,0,0,18
20260923,1,0.0,False,False,1,tit_for_tat,20,25149,2.5149,0.7921,20,0,0,20
20260923,2,0.0,False,False,1,always_cooperate,17,18210,2.142352941176471,1.0,15,0,0,15
20260923,2,0.0,False,False,1,always_defect,28,39240,2.802857142857143,0.0,33,0,0,33
20260923,2,0.0,False,False,1,forgiving_tit_for_tat,17,18330,2.156470588235294,1.0,15,0,0,15
20260923,2,0.0,False,False,1,pavlov,18,20925,2.325,0.865,17,0,0,17
20260923,2,0.0,False,False,1,tit_for_tat,20,24225,2.4225,0.7525,20,0,0,20
20260923,3,0.0,False,False,1,always_cooperate,15,15060,2.008,1.0,13,0,0,13
20260923,3,0.0,False,False,1,always_defect,33,42760,2.5915151515151513,0.0,37,0,0,37
20260923,3,0.0,False,False,1,forgiving_tit_for_tat,15,15510,2.068,1.0,14,0,0,14
20260923,3,0.0,False,False,1,pavlov,17,18350,2.1588235294117646,0.831764705882353,16,0,0,16
20260923,3,0.0,False,False,1,tit_for_tat,20,23175,2.3175,0.7075,20,0,0,20
20260923,4,0.0,False,False,1,always_cooperate,13,11130,1.7123076923076923,1.0,10,0,0,10
20260923,4,0.0,False,False,1,always_defect,37,47260,2.5545945945945947,0.0,43,0,0,43
20260923,4,0.0,False,False,1,forgiving_tit_for_tat,14,13350,1.9071428571428573,1.0,12,0,0,12
20260923,4,0.0,False,False,1,pavlov,16,16550,2.06875,0.81375,15,0,0,15
20260923,4,0.0,False,False,1,tit_for_tat,20,22440,2.244,0.676,20,0,0,20
20260923,5,0.0,False,False,1,always_cooperate,10,8550,1.71,1.0,8,0,0,8
