replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260921,0,0.0,False,False,2,always_cooperate,20,24420,2.442,1.0,20,0,0,20
20260921,0,0.0,False,False,2,always_defect,20,23876,2.3876,0.0,19,0,0,19
20260921,0,0.0,False,False,2,forgiving_tit_for_tat,20,25886,2.5886,0.8504,21,0,0,21
20260921,0,0.0,False,False,2,pavlov,20,24975,2.4975,0.8995,20,0,0,20
20260921,0,0.0,False,False,2,tit_for_tat,20,25170,2.517,0.793,20,0,0,20
20260921,1,0.0,False,False,2,always_cooperate,20,23880,2.388,1.0,19,0,0,19
20260921,1,0.0,False,False,2,always_defect,19,23652,2.489684210526316,0.0,19,0,0,19
20260921,1,0.0,False,False,2,forgiving_tit_for_tat,21,26704,2.5432380952380953,0.8339047619047619,21,0,0,21
20260921,1,0.0,False,False,2,pavlov,20,25575,2.5575,0.9115,20,0,0,20
20260921,1,0.0,False,False,2,tit_for_tat,20,26283,2.6283,0.8407,21,0,0,21
20260921,2,0.0,False,False,2,always_cooperate,19,23250,2.4473684210526314,1.0,18,0,0,18
20260921,2,0.0,False,False,2,always_defect,19,23036,2.4248421052631577,0.0,18,0,0,18
20260921,2,0.0,False,False,2,forgiving_tit_for_tat,21,27122,2.583047619047619,0.8483809523809523,22,0,0,22
20260921,2,0.0,False,False,2,pavlov,20,24875,2.4875,0.8975,20,0,0,20
20260921,2,0.0,False,False,2,tit_for_tat,21,27069,2.578,0.8191428571428572,22,0,0,22
20260921,3,0.0,False,False,2,always_cooperate,18,21900,2.433333333333333,1.0,17,0,0,17
20260921,3,0.0,False,False,2,always_defect,18,21908,2.434222222222222,0.0,17,0,0,17
20260921,3,0.0,False,False,2,forgiving_tit_for_tat,22,28578,2.598,0.8538181818181818,23,0,0,23
20260921,3,0.0,False,False,2,pavlov,20,25350,2.535,0.907,20,0,0,20
20260921,3,0.0,False,False,2,tit_for_tat,22,28905,2.627727272727273,0.8404545454545455,23,0,0,23
20260921,4,0.0,False,False,2,always_cooperate,17,21000,2.4705882352941178,1.0,16,0,0,16
20260921,4,0.0,False,False,2,always_defect,17,20256,2.383058823529412,0.0,16,0,0,16
20260921,4,0.0,False,False,2,forgiving_tit_for_tat,23,29946,2.604,0.856,24,0,0,24
20260921,4,0.0,False,False,2,pavlov,20,25825,2.5825,0.9165,20,0,0,20
20260921,4,0.0,False,False,2,tit_for_tat,23,30510,2.6530434782608694,0.851304347826087,24,0,0,24
20260921,5,0.0,False,False,2,always_cooperate,16,20040,2.505,1.0,16,0,0,16
20260921,5,0.0,False,False,2,always_defect,16,18680,2.335,0.0,14,0,0,14
20260921,5,0.0,False,False,2,forgiving_tit_for_tat,24,31864,2.6553333333333335,0.8746666666666667,25,0,0,25
20260921,5,0.0,False,False,2,pavlov,20,26075,2.6075,0.9215,20,0,0,20
20260921,5,0.0,False,False,2,tit_for_tat,24,32031,2.66925,0.85825,25,0,0,25
20260921,6,0.0,False,False,2,always_cooperate,16,20130,2.51625,1.0,15,0,0,15
20260921,6,0.0,False,False,2,always_defect,14,16968,2.424,0.0,13,0,0,13
20260921,6,0.0,False,False,2,forgiving_tit_for_tat,25,33694,2.69552,0.88928,26,0,0,26
20260921,6,0.0,False,False,2,pavlov,20,26625,2.6625,0.9325,20,0,0,20
20260921,6,0.0,False,False,2,tit_for_tat,25,33699,2.69592,0.86968,26,0,0,26
20260921,7,0.0,False,False,2,always_cooperate,15,19530,2.604,1.0,15,0,0,15
20260921,7,0.0,False,False,2,always_defect,13,15076,2.3193846153846156,0.0,11,0,0,11
20260921,7,0.0,False,False,2,forgiving_tit_for_tat,26,34886,2.6835384615384617,0.8849230769230769,27,0,0,27
20260921,7,0.0,False,False,2,pavlov,20,26900,2.69,0.938,20,0,0,20
20260921,7,0.0,False,False,2,tit_for_tat,26,35640,2.7415384615384615,0.8892307692307693,27,0,0,27
20260921,8,0.0,False,False,2,always_cooperate,15,19740,2.632,1.0,15,0,0,15
20260921,8,0.0,False,False,2,always_defect,11,13244,2.408,0.0,10,0,0,10
20260921,8,0.0,False,False,2,forgiving_tit_for_tat,27,37244,2.758814814814815,0.9122962962962963,27,0,0,27
20260921,8,0.0,False,False,2,pavlov,20,27175,2.7175,0.9435,20,0,0,20
20260921,8,0.0,False,False,2,tit_for_tat,27,37245,2.758888888888889,0.8966666666666666,28,0,0,28
20260921,9,0.0,False,False,2,always_cooperate,15,20100,2.68,1.0,15,0,0,15
20260921,9,0.0,False,False,2,always_defect,10,11780,2.356,0.0,8,0,0,8
20260921,9,0.0,False,False,2,forgiving_tit_for_tat,27,37662,2.7897777777777777,0.9235555555555556,28,0,0,28
20260921,9,0.0,False,False,2,pavlov,20,27525,2.7525,0.9505,20,0,0,20
20260921,9,0.0,False,False,2,tit_for_tat,28,39018,2.787,0.9087142857142857,29,0,0,29
20260922,0,0.0,False,False,2,always_cooperate,20,23700,2.37,1.0,19,0,0,19
20260922,0,0.0,False,False,2,always_defect,20,24640,2.464,0.0,20,0,0,20
20260922,0,0.0,False,False,2,forgiving_tit_for_tat,20,25248,2.5248,0.8272,20,0,0,20
20260922,0,0.0,False,False,2,pavlov,20,25300,2.53,0.906,20,0,0,20
20260922,0,0.0,False,False,2,tit_for_tat,20,26052,2.6052,0.8308,21,0,0,21
20260922,1,0.0,False,False,2,always_cooperate,19,22920,2.4126315789473685,1.0,18,0,0,18
20260922,1,0.0,False,False,2,always_defect,20,24096,2.4096,0.0,19,0,0,19
20260922,1,0.0,False,False,2,forgiving_tit_for_tat,20,25644,2.5644,0.8416,21,0,0,21
20260922,1,0.0,False,False,2,pavlov,20,24775,2.4775,0.8955,20,0,0,20
20260922,1,0.0,False,False,2,tit_for_tat,21,26817,2.554,0.8088571428571428,22,0,0,22
20260922,2,0.0,False,False,2,always_cooperate,18,21660,2.4066666666666667,1.0,17,0,0,17
20260922,2,0.0,False,False,2,always_defect,19,22944,2.415157894736842,0.0,18,0,0,18
20260922,2,0.0,False,False,2,forgiving_tit_for_tat,21,27122,2.583047619047619,0.8483809523809523,22,0,0,22
20260922,2,0.0,False,False,2,pavlov,20,25125,2.5125,0.9025,20,0,0,20
20260922,2,0.0,False,False,2,tit_for_tat,22,28632,2.602909090909091,0.8298181818181818,23,0,0,23
20260922,3,0.0,False,False,2,always_cooperate,17,20670,2.431764705882353,1.0,16,0,0,16
20260922,3,0.0,False,False,2,always_defect,18,21472,2.3857777777777778,0.0,17,0,0,17
20260922,3,0.0,False,False,2,forgiving_tit_for_tat,22,28402,2.582,0.848,23,0,0,23
20260922,3,0.0,False,False,2,pavlov,20,25525,2.5525,0.9105,20,0,0,20
20260922,3,0.0,False,False,2,tit_for_tat,23,30405,2.643913043478261,0.8473913043478261,24,0,0,24
20260922,4,0.0,False,False,2,always_cooperate,16,19800,2.475,1.0,16,0,0,16
20260922,4,0.0,False,False,2,always_defect,17,19760,2.324705882352941,0.0,15,0,0,15
20260922,4,0.0,False,False,2,forgiving_tit_for_tat,23,30298,2.6346086956521737,0.8671304347826087,24,0,0,24
20260922,4,0.0,False,False,2,pavlov,20,25825,2.5825,0.9165,20,0,0,20
20260922,4,0.0,False,False,2,tit_for_tat,24,31842,2.6535,0.8515,25,0,0,25
20260922,5,0.0,False,False,2,always_cooperate,16,19890,2.48625,1.0,15,0,0,15
20260922,5,0.0,False,False,2,always_defect,15,18140,2.4186666666666667,0.0,14,0,0,14
20260922,5,0.0,False,False,2,forgiving_tit_for_tat,24,32282,2.690166666666667,0.8873333333333333,25,0,0,25
20260922,5,0.0,False,False,2,pavlov,20,26200,2.62,0.924,20,0,0,20
20260922,5,0.0,False,False,2,tit_for_tat,25,33468,2.67744,0.86176,26,0,0,26
20260922,6,0.0,False,False,2,always_cooperate,15,19260,2.568,1.0,15,0,0,15
20260922,6,0.0,False,False,2,always_defect,14,16304,2.329142857142857,0.0,13,0,0,13
20260922,6,0.0,False,False,2,forgiving_tit_for_tat,25,33232,2.65856,0.87584,25,0,0,25
20260922,6,0.0,False,False,2,pavlov,20,26575,2.6575,0.9315,20,0,0,20
20260922,6,0.0,False,False,2,tit_for_tat,26,35367,2.7205384615384616,0.8802307692307693,27,0,0,27
20260922,7,0.0,False,False,2,always_cooperate,15,19260,2.568,1.0,14,0,0,14
20260922,7,0.0,False,False,2,always_defect,13,15520,2.3876923076923076,0.0,12,0,0,12
20260922,7,0.0,False,False,2,forgiving_tit_for_tat,25,34046,2.72368,0.89952,26,0,0,26
20260922,7,0.0,False,False,2,pavlov,20,26575,2.6575,0.9315,20,0,0,20
20260922,7,0.0,False,False,2,tit_for_tat,27,36804,2.7262222222222223,0.8826666666666667,28,0,0,28
20260922,8,0.0,False,False,2,always_cooperate,14,18030,2.5757142857142856,1.0,13,0,0,13
20260922,8,0.0,False,False,2,always_defect,12,14116,2.3526666666666665,0.0,11,0,0,11
20260922,8,0.0,False,False,2,forgiving_tit_for_tat,26,35744,2.7495384615384615,0.908923076923077,27,0,0,27
20260922,8,0.0,False,False,2,pavlov,20,27125,2.7125,0.9425,20,0,0,20
20260922,8,0.0,False,False,2,tit_for_tat,28,38472,2.748,0.892,29,0,0,29
20260922,9,0.0,False,False,2,always_cooperate,13,17370,2.6723076923076925,1.0,13,0,0,13
20260922,9,0.0,False,False,2,always_defect,11,12612,2.293090909090909,0.0,9,0,0,9
20260922,9,0.0,False,False,2,forgiving_tit_for_tat,27,37178,2.753925925925926,0.9105185185185185,28,0,0,28
20260922,9,0.0,False,False,2,pavlov,20,26975,2.6975,0.9395,20,0,0,20
20260922,9,0.0,False,False,2,tit_for_tat,29,40119,2.7668275862068965,0.9000689655172414,30,0,0,30
20260923,0,0.0,False,False,2,always_cooperate,20,24120,2.412,1.0,19,0,0,19
20260923,0,0.0,False,False,2,always_defect,20,24472,2.4472,0.0,20,0,0,20
20260923,0,0.0,False,False,2,forgiving_tit_for_tat,20,25820,2.582,0.848,21,0,0,21
20260923,0,0.0,False,False,2,pavlov,20,24650,2.465,0.893,20,0,0,20
20260923,0,0.0,False,False,2,tit_for_tat,20,25632,2.5632,0.8128,20,0,0,20
20260923,1,0.0,False,False,2,always_cooperate,19,22560,2.3747368421052633,1.0,18,0,0,18
20260923,1,0.0,False,False,2,always_defect,20,24608,2.4608,0.0,20,0,0,20
20260923,1,0.0,False,False,2,forgiving_tit_for_tat,21,26924,2.5641904761904764,0.8415238095238096,21,0,0,21
20260923,1,0.0,False,False,2,pavlov,20,24725,2.4725,0.8945,20,0,0,20
20260923,1,0.0,False,False,2,tit_for_tat,20,25779,2.5779,0.8191,21,0,0,21
20260923,2,0.0,False,False,2,always_cooperate,18,21060,2.34,1.0,17,0,0,17
20260923,2,0.0,False,False,2,always_defect,20,24368,2.4368,0.0,20,0,0,20
