memory_window,policy,agents,matches,rounds,payoff,average_payoff_per_round,cooperation_rate,mutual_cooperation_rounds
,always_cooperate,2,100,1000,2370,2.37,1.0,790
,always_defect,2,100,1000,2564,2.564,0.0,0
,forgiving_tit_for_tat,2,100,1000,2472,2.472,0.808,760
,pavlov,2,100,1000,2425,2.425,0.885,770
,tit_for_tat,2,100,1000,2622,2.622,0.838,820
